name	length	type	molecule	unit	aliases
chr1_KI270712v1_random	176043	unlocalized	chr1	primary	HSCHR1_CTG7_UNLOCALIZED,KI270712.1,NT_187367.1
chr1_KI270713v1_random	40745	unlocalized	chr1	primary	HSCHR1_CTG8_UNLOCALIZED,KI270713.1,NT_187368.1
chr1_KI270714v1_random	41717	unlocalized	chr1	primary	HSCHR1_CTG9_UNLOCALIZED,KI270714.1,NT_187369.1
chr2_KI270715v1_random	161471	unlocalized	chr2	primary	HSCHR2_RANDOM_CTG1,KI270715.1,NT_187370.1
chr2_KI270716v1_random	153799	unlocalized	chr2	primary	HSCHR2_RANDOM_CTG2,KI270716.1,NT_187371.1
chr3_GL000221v1_random	155397	unlocalized	chr3	primary	GL000221.1,HSCHR3UN_CTG2,NT_167215.1
chr4_GL000008v2_random	209709	unlocalized	chr4	primary	GL000008.2,HSCHR4_RANDOM_CTG4,NT_113793.3
chr5_GL000208v1_random	92689	unlocalized	chr5	primary	GL000208.1,HSCHR5_RANDOM_CTG1,NT_113948.1
chr9_KI270717v1_random	40062	unlocalized	chr9	primary	HSCHR9_UNLOCALIZED_CTG1,KI270717.1,NT_187372.1
chr9_KI270718v1_random	38054	unlocalized	chr9	primary	HSCHR9_UNLOCALIZED_CTG2,KI270718.1,NT_187373.1
chr9_KI270719v1_random	176845	unlocalized	chr9	primary	HSCHR9_UNLOCALIZED_CTG3,KI270719.1,NT_187374.1
chr9_KI270720v1_random	39050	unlocalized	chr9	primary	HSCHR9_UNLOCALIZED_CTG4,KI270720.1,NT_187375.1
chr11_KI270721v1_random	100316	unlocalized	chr11	primary	HSCHR11_CTG1_UNLOCALIZED,KI270721.1,NT_187376.1
chr14_GL000009v2_random	201709	unlocalized	chr14	primary	GL000009.2,HSCHR14_CTG1_UNLOCALIZED,NT_113796.3
chr14_GL000194v1_random	191469	unlocalized	chr14	primary	GL000194.1,HSCHR14_CTG4_UNLOCALIZED,NT_113888.1
chr14_GL000225v1_random	211173	unlocalized	chr14	primary	GL000225.1,HSCHR14_CTG2_UNLOCALIZED,NT_167219.1
chr14_KI270722v1_random	194050	unlocalized	chr14	primary	HSCHR14_CTG3_UNLOCALIZED,KI270722.1,NT_187377.1
chr14_KI270723v1_random	38115	unlocalized	chr14	primary	HSCHR14_CTG5_UNLOCALIZED,KI270723.1,NT_187378.1
chr14_KI270724v1_random	39555	unlocalized	chr14	primary	HSCHR14_CTG6_UNLOCALIZED,KI270724.1,NT_187379.1
chr14_KI270725v1_random	172810	unlocalized	chr14	primary	HSCHR14_CTG7_UNLOCALIZED,KI270725.1,NT_187380.1
chr14_KI270726v1_random	43739	unlocalized	chr14	primary	HSCHR14_CTG8_UNLOCALIZED,KI270726.1,NT_187381.1
chr15_KI270727v1_random	448248	unlocalized	chr15	primary	HSCHR15_RANDOM_CTG1,KI270727.1,NT_187382.1
chr16_KI270728v1_random	1872759	unlocalized	chr16	primary	HSCHR16_RANDOM_CTG1,KI270728.1,NT_187383.1
chr17_GL000205v2_random	185591	unlocalized	chr17	primary	GL000205.2,HSCHR17_RANDOM_CTG3,NT_113930.2
chr17_KI270729v1_random	280839	unlocalized	chr17	primary	HSCHR17_RANDOM_CTG4,KI270729.1,NT_187384.1
chr17_KI270730v1_random	112551	unlocalized	chr17	primary	HSCHR17_RANDOM_CTG5,KI270730.1,NT_187385.1
chr22_KI270731v1_random	150754	unlocalized	chr22	primary	HSCHR22_UNLOCALIZED_CTG1,KI270731.1,NT_187386.1
chr22_KI270732v1_random	41543	unlocalized	chr22	primary	HSCHR22_UNLOCALIZED_CTG2,KI270732.1,NT_187387.1
chr22_KI270733v1_random	179772	unlocalized	chr22	primary	HSCHR22_UNLOCALIZED_CTG3,KI270733.1,NT_187388.1
chr22_KI270734v1_random	165050	unlocalized	chr22	primary	HSCHR22_UNLOCALIZED_CTG4,KI270734.1,NT_187389.1
chr22_KI270735v1_random	42811	unlocalized	chr22	primary	HSCHR22_UNLOCALIZED_CTG5,KI270735.1,NT_187390.1
chr22_KI270736v1_random	181920	unlocalized	chr22	primary	HSCHR22_UNLOCALIZED_CTG6,KI270736.1,NT_187391.1
chr22_KI270737v1_random	103838	unlocalized	chr22	primary	HSCHR22_UNLOCALIZED_CTG7,KI270737.1,NT_187392.1
chr22_KI270738v1_random	99375	unlocalized	chr22	primary	HSCHR22_UNLOCALIZED_CTG8,KI270738.1,NT_187393.1
chr22_KI270739v1_random	73985	unlocalized	chr22	primary	HSCHR22_UNLOCALIZED_CTG9,KI270739.1,NT_187394.1
chrY_KI270740v1_random	37240	unlocalized	chrY	primary	HSCHRY_RANDOM_CTG1,KI270740.1,NT_187395.1
chrUn_GL000195v1	182896	unplaced		primary	GL000195.1,HSCHRUN_RANDOM_CTG1,NT_113901.1
chrUn_GL000213v1	164239	unplaced		primary	GL000213.1,HSCHRUN_RANDOM_CTG2,NT_167208.1
chrUn_GL000214v1	137718	unplaced		primary	GL000214.1,HSCHRUN_RANDOM_CTG4,NT_167209.1
chrUn_GL000216v2	176608	unplaced		primary	GL000216.2,HSCHRUN_RANDOM_CTG6,NT_167211.2
chrUn_GL000218v1	161147	unplaced		primary	GL000218.1,HSCHRUN_RANDOM_CTG9,NT_113889.1
chrUn_GL000219v1	179198	unplaced		primary	GL000219.1,HSCHRUN_RANDOM_CTG10,NT_167213.1
chrUn_GL000220v1	161802	unplaced		primary	GL000220.1,HSCHRUN_RANDOM_CTG11,NT_167214.1
chrUn_GL000224v1	179693	unplaced		primary	GL000224.1,HSCHRUN_RANDOM_CTG16,NT_167218.1
chrUn_GL000226v1	15008	unplaced		primary	GL000226.1,HSCHRUN_RANDOM_CTG19,NT_167220.1
chrUn_KI270302v1	2274	unplaced		primary	HSCHRUN_RANDOM_100,KI270302.1,NT_187396.1
chrUn_KI270303v1	1942	unplaced		primary	HSCHRUN_RANDOM_102,KI270303.1,NT_187398.1
chrUn_KI270304v1	2165	unplaced		primary	HSCHRUN_RANDOM_101,KI270304.1,NT_187397.1
chrUn_KI270305v1	1472	unplaced		primary	HSCHRUN_RANDOM_103,KI270305.1,NT_187399.1
chrUn_KI270310v1	1201	unplaced		primary	HSCHRUN_RANDOM_106,KI270310.1,NT_187402.1
chrUn_KI270311v1	12399	unplaced		primary	HSCHRUN_RANDOM_110,KI270311.1,NT_187406.1
chrUn_KI270312v1	998	unplaced		primary	HSCHRUN_RANDOM_109,KI270312.1,NT_187405.1
chrUn_KI270315v1	2276	unplaced		primary	HSCHRUN_RANDOM_108,KI270315.1,NT_187404.1
chrUn_KI270316v1	1444	unplaced		primary	HSCHRUN_RANDOM_107,KI270316.1,NT_187403.1
chrUn_KI270317v1	37690	unplaced		primary	HSCHRUN_RANDOM_111,KI270317.1,NT_187407.1
chrUn_KI270320v1	4416	unplaced		primary	HSCHRUN_RANDOM_105,KI270320.1,NT_187401.1
chrUn_KI270322v1	21476	unplaced		primary	HSCHRUN_RANDOM_104,KI270322.1,NT_187400.1
chrUn_KI270329v1	1040	unplaced		primary	HSCHRUN_RANDOM_167,KI270329.1,NT_187459.1
chrUn_KI270330v1	1652	unplaced		primary	HSCHRUN_RANDOM_166,KI270330.1,NT_187458.1
chrUn_KI270333v1	2699	unplaced		primary	HSCHRUN_RANDOM_169,KI270333.1,NT_187461.1
chrUn_KI270334v1	1368	unplaced		primary	HSCHRUN_RANDOM_168,KI270334.1,NT_187460.1
chrUn_KI270335v1	1048	unplaced		primary	HSCHRUN_RANDOM_170,KI270335.1,NT_187462.1
chrUn_KI270336v1	1026	unplaced		primary	HSCHRUN_RANDOM_173,KI270336.1,NT_187465.1
chrUn_KI270337v1	1121	unplaced		primary	HSCHRUN_RANDOM_174,KI270337.1,NT_187466.1
chrUn_KI270338v1	1428	unplaced		primary	HSCHRUN_RANDOM_171,KI270338.1,NT_187463.1
chrUn_KI270340v1	1428	unplaced		primary	HSCHRUN_RANDOM_172,KI270340.1,NT_187464.1
chrUn_KI270362v1	3530	unplaced		primary	HSCHRUN_RANDOM_177,KI270362.1,NT_187469.1
chrUn_KI270363v1	1803	unplaced		primary	HSCHRUN_RANDOM_175,KI270363.1,NT_187467.1
chrUn_KI270364v1	2855	unplaced		primary	HSCHRUN_RANDOM_176,KI270364.1,NT_187468.1
chrUn_KI270366v1	8320	unplaced		primary	HSCHRUN_RANDOM_178,KI270366.1,NT_187470.1
chrUn_KI270371v1	2805	unplaced		primary	HSCHRUN_RANDOM_202,KI270371.1,NT_187494.1
chrUn_KI270372v1	1650	unplaced		primary	HSCHRUN_RANDOM_199,KI270372.1,NT_187491.1
chrUn_KI270373v1	1451	unplaced		primary	HSCHRUN_RANDOM_200,KI270373.1,NT_187492.1
chrUn_KI270374v1	2656	unplaced		primary	HSCHRUN_RANDOM_198,KI270374.1,NT_187490.1
chrUn_KI270375v1	2378	unplaced		primary	HSCHRUN_RANDOM_201,KI270375.1,NT_187493.1
chrUn_KI270376v1	1136	unplaced		primary	HSCHRUN_RANDOM_197,KI270376.1,NT_187489.1
chrUn_KI270378v1	1048	unplaced		primary	HSCHRUN_RANDOM_179,KI270378.1,NT_187471.1
chrUn_KI270379v1	1045	unplaced		primary	HSCHRUN_RANDOM_180,KI270379.1,NT_187472.1
chrUn_KI270381v1	1930	unplaced		primary	HSCHRUN_RANDOM_194,KI270381.1,NT_187486.1
chrUn_KI270382v1	4215	unplaced		primary	HSCHRUN_RANDOM_196,KI270382.1,NT_187488.1
chrUn_KI270383v1	1750	unplaced		primary	HSCHRUN_RANDOM_190,KI270383.1,NT_187482.1
chrUn_KI270384v1	1658	unplaced		primary	HSCHRUN_RANDOM_192,KI270384.1,NT_187484.1
chrUn_KI270385v1	990	unplaced		primary	HSCHRUN_RANDOM_195,KI270385.1,NT_187487.1
chrUn_KI270386v1	1788	unplaced		primary	HSCHRUN_RANDOM_188,KI270386.1,NT_187480.1
chrUn_KI270387v1	1537	unplaced		primary	HSCHRUN_RANDOM_183,KI270387.1,NT_187475.1
chrUn_KI270388v1	1216	unplaced		primary	HSCHRUN_RANDOM_186,KI270388.1,NT_187478.1
chrUn_KI270389v1	1298	unplaced		primary	HSCHRUN_RANDOM_181,KI270389.1,NT_187473.1
chrUn_KI270390v1	2387	unplaced		primary	HSCHRUN_RANDOM_182,KI270390.1,NT_187474.1
chrUn_KI270391v1	1484	unplaced		primary	HSCHRUN_RANDOM_189,KI270391.1,NT_187481.1
chrUn_KI270392v1	971	unplaced		primary	HSCHRUN_RANDOM_193,KI270392.1,NT_187485.1
chrUn_KI270393v1	1308	unplaced		primary	HSCHRUN_RANDOM_191,KI270393.1,NT_187483.1
chrUn_KI270394v1	970	unplaced		primary	HSCHRUN_RANDOM_187,KI270394.1,NT_187479.1
chrUn_KI270395v1	1143	unplaced		primary	HSCHRUN_RANDOM_184,KI270395.1,NT_187476.1
chrUn_KI270396v1	1880	unplaced		primary	HSCHRUN_RANDOM_185,KI270396.1,NT_187477.1
chrUn_KI270411v1	2646	unplaced		primary	HSCHRUN_RANDOM_113,KI270411.1,NT_187409.1
chrUn_KI270412v1	1179	unplaced		primary	HSCHRUN_RANDOM_112,KI270412.1,NT_187408.1
chrUn_KI270414v1	2489	unplaced		primary	HSCHRUN_RANDOM_114,KI270414.1,NT_187410.1
chrUn_KI270417v1	2043	unplaced		primary	HSCHRUN_RANDOM_119,KI270417.1,NT_187415.1
chrUn_KI270418v1	2145	unplaced		primary	HSCHRUN_RANDOM_116,KI270418.1,NT_187412.1
chrUn_KI270419v1	1029	unplaced		primary	HSCHRUN_RANDOM_115,KI270419.1,NT_187411.1
chrUn_KI270420v1	2321	unplaced		primary	HSCHRUN_RANDOM_117,KI270420.1,NT_187413.1
chrUn_KI270422v1	1445	unplaced		primary	HSCHRUN_RANDOM_120,KI270422.1,NT_187416.1
chrUn_KI270423v1	981	unplaced		primary	HSCHRUN_RANDOM_121,KI270423.1,NT_187417.1
chrUn_KI270424v1	2140	unplaced		primary	HSCHRUN_RANDOM_118,KI270424.1,NT_187414.1
chrUn_KI270425v1	1884	unplaced		primary	HSCHRUN_RANDOM_122,KI270425.1,NT_187418.1
chrUn_KI270429v1	1361	unplaced		primary	HSCHRUN_RANDOM_123,KI270429.1,NT_187419.1
chrUn_KI270435v1	92983	unplaced		primary	HSCHRUN_RANDOM_128,KI270435.1,NT_187424.1
chrUn_KI270438v1	112505	unplaced		primary	HSCHRUN_RANDOM_129,KI270438.1,NT_187425.1
chrUn_KI270442v1	392061	unplaced		primary	HSCHRUN_RANDOM_124,KI270442.1,NT_187420.1
chrUn_KI270448v1	7992	unplaced		primary	HSCHRUN_RANDOM_203,KI270448.1,NT_187495.1
chrUn_KI270465v1	1774	unplaced		primary	HSCHRUN_RANDOM_126,KI270465.1,NT_187422.1
chrUn_KI270466v1	1233	unplaced		primary	HSCHRUN_RANDOM_125,KI270466.1,NT_187421.1
chrUn_KI270467v1	3920	unplaced		primary	HSCHRUN_RANDOM_127,KI270467.1,NT_187423.1
chrUn_KI270468v1	4055	unplaced		primary	HSCHRUN_RANDOM_130,KI270468.1,NT_187426.1
chrUn_KI270507v1	5353	unplaced		primary	HSCHRUN_RANDOM_141,KI270507.1,NT_187437.1
chrUn_KI270508v1	1951	unplaced		primary	HSCHRUN_RANDOM_134,KI270508.1,NT_187430.1
chrUn_KI270509v1	2318	unplaced		primary	HSCHRUN_RANDOM_132,KI270509.1,NT_187428.1
chrUn_KI270510v1	2415	unplaced		primary	HSCHRUN_RANDOM_131,KI270510.1,NT_187427.1
chrUn_KI270511v1	8127	unplaced		primary	HSCHRUN_RANDOM_139,KI270511.1,NT_187435.1
chrUn_KI270512v1	22689	unplaced		primary	HSCHRUN_RANDOM_136,KI270512.1,NT_187432.1
chrUn_KI270515v1	6361	unplaced		primary	HSCHRUN_RANDOM_140,KI270515.1,NT_187436.1
chrUn_KI270516v1	1300	unplaced		primary	HSCHRUN_RANDOM_135,KI270516.1,NT_187431.1
chrUn_KI270517v1	3253	unplaced		primary	HSCHRUN_RANDOM_142,KI270517.1,NT_187438.1
chrUn_KI270518v1	2186	unplaced		primary	HSCHRUN_RANDOM_133,KI270518.1,NT_187429.1
chrUn_KI270519v1	138126	unplaced		primary	HSCHRUN_RANDOM_137,KI270519.1,NT_187433.1
chrUn_KI270521v1	7642	unplaced		primary	HSCHRUN_RANDOM_204,KI270521.1,NT_187496.1
chrUn_KI270522v1	5674	unplaced		primary	HSCHRUN_RANDOM_138,KI270522.1,NT_187434.1
chrUn_KI270528v1	2983	unplaced		primary	HSCHRUN_RANDOM_144,KI270528.1,NT_187440.1
chrUn_KI270529v1	1899	unplaced		primary	HSCHRUN_RANDOM_143,KI270529.1,NT_187439.1
chrUn_KI270530v1	2168	unplaced		primary	HSCHRUN_RANDOM_145,KI270530.1,NT_187441.1
chrUn_KI270538v1	91309	unplaced		primary	HSCHRUN_RANDOM_147,KI270538.1,NT_187443.1
chrUn_KI270539v1	993	unplaced		primary	HSCHRUN_RANDOM_146,KI270539.1,NT_187442.1
chrUn_KI270544v1	1202	unplaced		primary	HSCHRUN_RANDOM_148,KI270544.1,NT_187444.1
chrUn_KI270548v1	1599	unplaced		primary	HSCHRUN_RANDOM_149,KI270548.1,NT_187445.1
chrUn_KI270579v1	31033	unplaced		primary	HSCHRUN_RANDOM_158,KI270579.1,NT_187450.1
chrUn_KI270580v1	1553	unplaced		primary	HSCHRUN_RANDOM_156,KI270580.1,NT_187448.1
chrUn_KI270581v1	7046	unplaced		primary	HSCHRUN_RANDOM_157,KI270581.1,NT_187449.1
chrUn_KI270582v1	6504	unplaced		primary	HSCHRUN_RANDOM_162,KI270582.1,NT_187454.1
chrUn_KI270583v1	1400	unplaced		primary	HSCHRUN_RANDOM_154,KI270583.1,NT_187446.1
chrUn_KI270584v1	4513	unplaced		primary	HSCHRUN_RANDOM_161,KI270584.1,NT_187453.1
chrUn_KI270587v1	2969	unplaced		primary	HSCHRUN_RANDOM_155,KI270587.1,NT_187447.1
chrUn_KI270588v1	6158	unplaced		primary	HSCHRUN_RANDOM_163,KI270588.1,NT_187455.1
chrUn_KI270589v1	44474	unplaced		primary	HSCHRUN_RANDOM_159,KI270589.1,NT_187451.1
chrUn_KI270590v1	4685	unplaced		primary	HSCHRUN_RANDOM_160,KI270590.1,NT_187452.1
chrUn_KI270591v1	5796	unplaced		primary	HSCHRUN_RANDOM_165,KI270591.1,NT_187457.1
chrUn_KI270593v1	3041	unplaced		primary	HSCHRUN_RANDOM_164,KI270593.1,NT_187456.1
chrUn_KI270741v1	157432	unplaced		primary	HSCHRUN_RANDOM_CTG17,KI270741.1,NT_187497.1
chrUn_KI270742v1	186739	unplaced		primary	HSCHRUN_RANDOM_CTG42,KI270742.1,NT_187513.1
chrUn_KI270743v1	210658	unplaced		primary	HSCHRUN_RANDOM_CTG20,KI270743.1,NT_187498.1
chrUn_KI270744v1	168472	unplaced		primary	HSCHRUN_RANDOM_CTG21,KI270744.1,NT_187499.1
chrUn_KI270745v1	41891	unplaced		primary	HSCHRUN_RANDOM_CTG22,KI270745.1,NT_187500.1
chrUn_KI270746v1	66486	unplaced		primary	HSCHRUN_RANDOM_CTG23,KI270746.1,NT_187501.1
chrUn_KI270747v1	198735	unplaced		primary	HSCHRUN_RANDOM_CTG24,KI270747.1,NT_187502.1
chrUn_KI270748v1	93321	unplaced		primary	HSCHRUN_RANDOM_CTG25,KI270748.1,NT_187503.1
chrUn_KI270749v1	158759	unplaced		primary	HSCHRUN_RANDOM_CTG26,KI270749.1,NT_187504.1
chrUn_KI270750v1	148850	unplaced		primary	HSCHRUN_RANDOM_CTG27,KI270750.1,NT_187505.1
chrUn_KI270751v1	150742	unplaced		primary	HSCHRUN_RANDOM_CTG28,KI270751.1,NT_187506.1
chrUn_KI270752v1	27745	unplaced		primary	HSCHRUN_RANDOM_CTG29,KI270752.1
chrUn_KI270753v1	62944	unplaced		primary	HSCHRUN_RANDOM_CTG30,KI270753.1,NT_187508.1
chrUn_KI270754v1	40191	unplaced		primary	HSCHRUN_RANDOM_CTG33,KI270754.1,NT_187509.1
chrUn_KI270755v1	36723	unplaced		primary	HSCHRUN_RANDOM_CTG34,KI270755.1,NT_187510.1
chrUn_KI270756v1	79590	unplaced		primary	HSCHRUN_RANDOM_CTG35,KI270756.1,NT_187511.1
chrUn_KI270757v1	71251	unplaced		primary	HSCHRUN_RANDOM_CTG36,KI270757.1,NT_187512.1
chrEBV	171823	assembled	chrEBV	decoy	AJ507799.2,NC_007605.1
